"Fundo";"Imagem";"PDF";"Autor";"Titulo";"Titulos atríbuidos";"Notas de edição";"Idioma";"Edição / Descrição geral";"Categoria";"Subcategoria";"Legendas";"Descrição Material";"Dimensões";"Bibliografia";"Publicações";"Exposições";"Itens relacionados";"Bloco de notas";"Cota";"Local de conservação";"Estado de conservação";"Proprietário";"Historial";"Datas relacionadas";"Notas à data";"Dedicatário";"Destinatário";"Data";"Locais";"Palavras chave";"Nomes relacionados";"Data inventario";"Inventariante"
"Almada Negreiros e Sarah Affonso";"195";"/images/NAeSA/ANSA-RI-102.png";"/images/NAeSA/pdf/ANSA-RI-102.pdf";"Negreiros, José de Almada";"Os Americanos";"Os Americanos";"";"Português";"Ilustração de José de Almada Negreiros para artigo do Diário de Lisboa .";"Espólio Documental";"Recorte de Imprensa Ilustração";"";"";"";"";"Recorte tirado de:  Diário de Lisboa , Ano 1, Nº 93, 23 de Julho de 1921, p. 3.";"";"";"";"ANSA-RI-102";"Informação Protegida";"Bom. Apresenta manchas de humidade ao longo do recorte.";"Colecção Particular";"";"1923";"";"";"";"1921 Jul 23";"";"Ilustração";"Negreiros, José de Almada";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"839";"/images/NAeSA/ANSA-L-112-001.jpg";"";"Negreiros, José de Almada";"Orpheu  ";"Orpheu";"";"Português";"Dactiloscrito com ememdas manuscritas. ";"Literatura";"Ensaio";"";"33 folhas lisas, dactilografadas e manuscritas a tinta preta.";"27 x 21 cm  ";"";"Negreiros, José de Almada,  Orpheu 1915-1965 , Lisboa, Ática, 1965.";"";"ANSA-L-93 e ANSA-L-111";"";"ANSA-L-112-1 a ANSA-L-112-33";"Informação Protegida";"Bom ";"Colecção Particular";"";"1965";"Data atribuída de acordo com o ano de publicação deste texto pela Ática.";"";"";"1965";"";"Orpheu";"Souza-Cardoso, Amadeo de  Sá-Carneiro, Mário de  Platão Zenão Pintor, Santa-Rita Pessoa, Fernando  Mourão-Ferreira, David Marinetti, Filippo Tommaso Lorca, Federico García Leal, Raul Jacob, Max Gide, André  Campos, Álvaro de Brancusi, Constantin Bocage, M";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"977";"/images/NAeSA/ANSA-L-98-001.jpg";"";"Negreiros, José de Almada";"Orpheu 1915-1965";"";"";"Português";"Maquete para o livro desdobrável sobre os cinquenta anos de Orpheu, publicado pela Ática. ";"Literatura";"Ensaio";"";"Desdobrável em cartão liso, com colagens na capa. 30 páginas manuscritas a tinta preta, numeradas.  ";"17,5 x 13 cm";"";"Negreiros, José de Almada, ""Orpheu 1915-1965"", Lisboa, Ática, 1965. ";"";"ANSA-IMP-20";"";"ANSA-L-98";"Informação Protegida";"Bom ";"Colecção Particular";"";"1965";"Atribuída de acordo com a data de publicação do livro. ";"";"";"1965";"Lisboa";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"1052";"/images/NAeSA/ANSA-IMP-20_1.jpg";"";"Negreiros, José de Almada";"Orpheu 1915-1965";"Orpheu 1915-1965";"";"Português";"Ensaio comemorativo dos cinquenta anos da revista  Orpheu . Dois exemplares : ANSA-IMP-20 ANSA-IMP-20 A";"Literatura";"Ensaio Impresso";"";"Impresso desdobrável em papel cartonado bege, tinta preta, capas com mancha cor de vinho, trinta páginas numeradas. ";"17,5 x 12,5 cm";"";"Negreiros, José de Almada,  Orpheu 1915-1965 , Lisboa, Ática, 1965. ";"";"Ver maquete manuscrita deste impresso: ANSA-L-98. ";"";"ANSA-IMP-20";"Informação Protegida";"Bom";"Colecção Particular";"";"1965";"Inscrita";"";"";"1965";"Lisboa";"Orpheu Comemoração";"Brancusi, Constantin Da Vinci, Leonardo D. João I Campos, Álvaro de Bocage, Manuel Maria Barbosa do Durão, Américo  Gide, André  Gracian, Baltazar Jacob, Max Leal, Raul Lorca, Federico García Marinetti, Filippo Tommaso Pessoa, Fernando  Pintor, Santa-Rita";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"5016";"/images/NAeSA/bn-acpc-e-e3-155_0015_7_t24-C-R01503.jpg";"";"";"Orpheu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2022-06-30";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"150";"/images/NAeSA/ANSA-RI-079.png";"/images/NAeSA/pdf/ANSA-RI-079.pdf";"Negreiros, José de Almada";"Operário Espanhol e Mulher";"'Operário Espanhol e Mulher'";"";"Português";"Reprodução de um desenho de José de Almada Negreiros, sem título, com a legenda 'Operário Espanhol e Mulher', por Almada - Madrid, 1932.";"Espólio Documental";"Recorte de Imprensa Ilustração";"";"";"";"";"Fonte desconhecida.";"";"";"";"ANSA-RI-79";"Informação Protegida";"Bom";"Colecção Particular";"";"Sem data";"";"";"";"Desconhecida";"Madrid";"Ilustração";"Negreiros, José de Almada";"";"Diogo Fernandes"
23,2 cm x 17,1 cm";"";"Publicada no catálogo da exposição homónima: Ferreira, Sara Afonso, Costa, Sílvia Laureano, Palmeirim, Simão. 'Almada por Contar'. Lisboa, Babel e Biblioteca Nacional de Portugal, 2013.";"'Almada por Contar'. Lisboa, Biblioteca Nacional de Portugal, 2013.";"";"";"ANSA-F-293";"Informação Protegida";"Bom.";"Colecção Particular";"";"1960 1961 1962 1963 1964 1965 1966 1967 1968 1969";"Data atribuída.";"";"";"196-";"";"Fotografia";"Negreiros, José de Almada";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-F-294.jpg";"";"Novais, Mário";"José de Almada Negreiros";"José de Almada Negreiros";"";"";"Fotografia de estúdio a preto e branco de José de Almada Negreiros.";"Espólio Documental";"Documento Fotográfico";"Rúbrica inscrita, a tinta azul, no verso.";"Fotografia rectangular a preto e branco.";"23,5 cm x 17,7 cm";"";" ";" ";"";"";"ANSA-F-294";"Informação Protegida";"Bom.";"Colecção Particular";"";"1960 1961 1962 1963 1964 1965 1966 1967 1968 1969";"Data atribuída.";"";"";"196-";"";"Fotografia";"Negreiros, José de Almada";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-81-001.jpg";"";"Negreiros, José de Almada";"Heráclito Chora Demócrito Ri";"";"";"Português";"Manuscrito de um ensaio.";"Literatura";"Ensaio / Artigos Ensaio";"";"Três páginas manuscritas a esferográfica azul em folhas de quadrículas. ";"25 x 16,5 cm";"";"Revista ""Cidade Nova"", nº2, série II, Coimbra, Nov. 1950. ";"";"";"";"ANSA-L-81-1 a ANSA-L-81-3";"Informação Protegida";"Bom";"Colecção Particular";"";"1950";"Atribuído de acordo com a publicação do texto. ";"";"";"1950";"Lisboa";"";"DemócritoCarvalho, José Rivera Martins de Heraclito";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-514-001-ACoelho.jpg";"/images/NAeSA/pdf/ANSA-A-514-00.pdf";"Affonso, Sarah";"Hera";"Hera";"";"";"Estudo de folhas de hera. ";"Arte";"Desenho";"";"Lápis sobre papel. ";"50 x 51,2 cm ";"";"";"";"";"";"ANSA-A-514";"Informação protegida";"Bom. Apresenta algumas manchas de humidade.";"Informação protegida";"";"";"";"";"";"Sem data ";"";"";"";"2020-03-06";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-876_thumbnail.jpg";"";"Negreiros, José de Almada";"Hee figura est super flua exerrore";"Hee figura est super flua exerrore";"";"";"Esboço de construção da figura superflua exerrore, numa página arrancada de um caderno que teria servido para resolver exercícios matemáticos (o verso tem uma série de equações). Tem também umas contas de dividir junto à figura.";"Arte Geometria";"Plano ou projecto Começar";"";"Página quadriculada, com desenho a lápis e caneta de tinta preta. contas a esferográfica azul e título a lápis.";"16,5 x 22 cm";"";"";"";"";"";"ANSA-A-876";"Informação Protegida";"Bom.";"Colecção Particular";"";"Sem data";"Atribuída.";"";"";"c. 1968";"";"";"";"";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-1634-1.JPG";"";"Almada Negreiros";"HEC FIGURA EST SUPERFLUA EX ERRORE";"";"";"";"Três folhas (ANSA-A-1634-1 a ANSA-A-1634-3), com dois desenhos geométricos para a construção da figura supérflua exerrore, que consta no painel Começar e o que parece ser um estudo para o painel, mas de outra figura.";"Geometria";"Desenho";"";"Materiais riscadores vários sobre papel ";"Dimensões variáveis, sendo a maior 53,5 x 41,5 cm";"";"";"";"";"";"ANSA-A-1634";"Informação Protegida";"Razoável";"Colecção Particular";"";"";"Provavelmente da década de 60, tendo em conta os conteúdos elencados";"";"";"Sem data";"";"";"";"2021-12-01";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-F-142.jpg";"";"Ferriz";"Hands-Up";"Hands-Up";"";"";"Fotografia a preto e branco do painel 'Hands-Up', da autoria de José de Almada Negreiros, para o cine 'San Carlos'.";"Espólio Documental";"Documento Fotográfico";"Inscrito no verso: ' Ferriz, Fotógrafo, Olózaga, 12-Madrid'";"Fotografia rectangular a preto e branco.";"12,7 cm x 16,7 cm";"";"Fotografia publicada em Sousa, Ernesto de.   Re Começar - Almada em Madrid . Porto: Imprensa Nacional Casa da Moeda, Novembro de 1983.";"";"ANSA-IMP-12";"";"ANSA-F-142";"Informação Protegida";"Bom.";"Colecção Particular";"";"1970";"Data atribuída considerando a deslocação de Ernesto de Sousa a Madrid, onde fotografou e resgatou os painéis do Cinema 'San Carlos'.";"";"";"1970";"Madrid";"Painéis Fotografia";"";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-F-145.jpg";"";"Ferriz";"Hands-Up";"Hands-Up";"";"";"Fotografia a preto e branco do painel 'Hands-Up', da autoria de José de Almada Negreiros, para o cine 'San Carlos'.";"Espólio Documental";"Documento Fotográfico";"Inscrito no verso: ' Ferriz, Fotógrafo, Olózaga, 12-Madrid'";"Fotografia rectangular a preto e branco colada sobre cartão.";"24,4 cm x 30,1 cm";"";"Fotografia publicada em Sousa, Ernesto de.   Re Começar - Almada em Madrid . Porto: Imprensa Nacional Casa da Moeda, Novembro de 1983.";"";"ANSA-IMP-12";"";"ANSA-F-145";"Informação Protegida";"Bom.";"Colecção Particular";"";"1970";"Data atribuída considerando a deslocação de Ernesto de Sousa a Madrid, onde fotografou e resgatou os painéis do Cinema 'San Carlos'.";"";"";"1970";"Madrid";"Painéis Fotografia";"";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-077.jpg";"";"Negreiros, José de Almada";"Hamlet";"Alegoria a Hamlet";"";"";"Estudo para o painel da Faculdade de Letras da Universidade de Lisboa.";"Arte";"Desenho";"";"Esferográfica sobre papel.";"21 cm x 27 cm sem moldura.";"";"";"";"";"";"ANSA-A-77";"Informação Protegida";"Bom.";"Colecção Particular";"";"1950 1957 1958 1959 1960 1961";"Data atribuída de acordo com o período dos trabalhos para a Faculdade de Letras da Universidade de Lisboa.";"";"";"1957-1961";"";"Fachadas da Universidade de Lisboa";"";"";"Diogo Fernandes"
"José Coelho Pacheco";"/images/NAeSA/BNP_Esp._N94_96.jpg";"";"José Coelho Pacheco";"Há pessoas q[ue] se arreliam grandemente quando encontram na rua etíopes";"Há pessoas q[ue] se arreliam grandemente quando encontram na rua etíopes";"Texto incompleto.";"Português";"Texto humorístico que descreve o terror dum homem perante coisas insignificantes.Tem grande parte do texto comum ao item relacionado (BNP Esp. 94/91).";"Literatura";"";"";"Duas folhas datilografadas.";"";"";"";"";"BNP Esp. N94/91";"";"BNP Esp. N94/96";"Biblioteca Nacional de Portugal";"Razoável";"Biblioteca Nacional de Portugal";"";"";"";"";"";"Sem data";"";"";"";"2022-06-28";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-185-001_Medium.jpeg";"";"Negreiros, José de Almada";"Há muitos que afirmam mil mentiras";"Há muitos que afirmam mil mentiras";"";"Português";"Texto de José de Almada Negreiros sobre o carácter dos ""pintores eminentes"".";"Literatura";"Ensaio";"";"Cinco exemplares de documento dactiloscrito numa folha lisa.";"";"";"";"";"";"";"ANSA-L-185 A a ANSA-L-185 D";"Informação Protegida";"Bom: apresenta manchas de humidade.";"Colecção Particular";"";"Sem data";"";"";"";"Sem data";"Itália";"";"";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-RI-198.png";"/images/NAeSA/pdf/ANSA-RI-198.pdf";"Desconhecido";"guia do espectador / teatro";"guia do espectador / teatro";"";"Português";"Referência à peça de Miguel Torga «O Mar», com cenários de Almada Negreiros, no Teatro Gil Vicente (Cascais), encenada por Carlos Avilez.";"Espólio Documental";"Recorte de Imprensa";"";"";"";"";"Recorte tirado de:  Jornal de Letras e Artes , Ano V, Nº 239, 11 de Maio de 1966, p. 12.";"";"";"";"ANSA-RI-198";"Informação Protegida";"Bom.";"Colecção Particular";"";"1966";"";"";"";"1966 Mai 11";"Cascais";"Teatro";"Torga, Miguel  Negreiros, José de Almada  Avilez, Carlos";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-F-127.jpg";"";"Desconhecido";"Grupo de Rapazes no Portinho da Arrábida";"Grupo de Rapazes no Portinho da Arrábida";"";"";"Fotografia a preto e branco de colegas de José de Almada Negreiros do Colégio dos Jesuítas em convívio no Portinho da Arrábida.";"Espólio Documental";"Documento Fotográfico";"Inscrito no verso, a tinta azul, a data e o local 'Gruta do Portinho da Arrábida 1909-1910?', com assinatura ilegível.";"Fotografia rectangular a preto e branco.";"11,5 cm x 8,9 cm";"";"Vieira, Joaquim.  Fotobiografias Século XX - Almada Negreiros . Lisboa: Círculo de Leitores, Outubro de 2001.";"";"";"";"ANSA-F-127";"Informação Protegida";"";"Colecção Particular";"";"1909 1910";"Data inscrita";"";"";"1909-1910";"Sintra";"Fotografia";"";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-877_thumbnail.jpg";"";"Negreiros, José de Almada";"Grelha Marcahuasi e estrela pitagórica";"Grelha Marcahuasi e estrela pitagórica";"";"";"Esboço de construção da grelha Marcahuasi e da estrela pitagórica que figuram na parte central do painel Começar.";"Arte Geometria";"Começar Plano ou projecto";"";"Página quadriculada, com desenho a esferográfica preta. Fundo preenchido com lápis de cor azul.";"21 x 30 cm";"";"";"";"";"";"ANSA-A-877";"Informação Protegida";"Bom.";"Colecção Particular";"";"Sem data";"Atribuída.";"";"";"c. 1968";"";"";"";"";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-1543.JPG";"";"Almada Negreiros";"grau = 9/10";"";"";"Português";"Propostas de igualdades entre graus e divisões da circunferência em partes iguais, particularmente 9 e 10.";"Geometria";"";"";"Grafite e esferográfica vermelha sobre papel ";"43 x 61 cm";"";"";"";"";"";"ANSA-A-1543";"Informação Protegida";"Bom: um pouco sujo";"Colecção Particular";"";"";"";"";"";"Sem data";"";"";"";"2021-06-08";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-1562.JPG";"";"Almada Negreiros";"grau";"";"";"";"Estudos geométricos para a divisão da circunferência em partes iguais. Provável estudo para secção direita do painel “Começar”Ao título ""grau"" (1/360 partes da circunferência) é estabelecida a igualdade com a subtracção da trigésima sexta parte da circunferência à quadragésima parte da mesma.";"Geometria";"";"";"Grafite, esferográfica vermelha, e caneta de tinta preta sobre papel quadriculado à mão";"42,5 x 61 cm";"";"";"";"ANSA-A-1548 a ANSA-A-1568ANSA-A-1569 a ANSA-A-1616";"Os itens relacionados estavam materialmente juntos e têm as mesmas características formais.";"ANSA-A-1562";"Informação Protegida";"Bom";"Colecção Particular";"";"";"Provavelmente da década de 50 ou 60";"";"";"Sem data";"";"";"";"2021-06-10";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-RI-316__I_.png";"/images/NAeSA/pdf/ANSA-RI-316.pdf";"Desconhecido";"Grande manifestação de pesar / o funeral de Almada Negreiros / depois das nove / televisão / Dois mil metros de filme sobre Almada Negreiros em breve, na RTP";"Grande manifestação de pesar / o funeral de Almada Negreiros / depois das nove / televisão / Dois mil metros de filme sobre Almada Negreiros em breve, na RTP";"";"Português";"Entrevista a Manuel Varella sobre a exibição, na RTP, do seu filme sobre José de Almada Negreiros e artigo, por autor anónimo, referente ao funeral de Almada Negreiros.";"Espólio Documental";"Recorte de Imprensa";"";"";"";"";"Recorte tirado de:  Diário Popular , 17 de Junho de  1970, pp. 6 e 15.";"";"";"Também mencionados neste artigo: Conde de Almarjão, Ana Máscolo, António Manuel Couto Viana, Francisco Relógio, José Branco Portugal, Francisco Keil do Amaral, Nuno Portas, Ana de Lucena, António Lopes Ribeiro, Fernanda de Castro, Francisco de Sousa Tavar";"ANSA-RI-316";"Informação Protegida";"Bom. Apresenta manchas de humidade ao longo do recorte.";"Colecção Particular";"";"1970";"";"";"";"1970 Jun 17";"Lisboa";"Entrevista Falecimento Programa Televisivo";"Almeida, Leopoldo de Araújo, Miguel de Balsemão, Francisco Pinto de Baptista, César Moreira Bessone, Numidico Botelho, Ana Maria Botelho, Carlos Caetano, Marcello Castro, Fernando Augusto Santos e Castro, José de Cidade, Hernani Cinatti, Ruy Colaço, Améli";"";"Diogo Fernandes"
"José Coelho Pacheco";"/images/NAeSA/JCP-BIO-10.JPG";"";"José Coelho Pacheco";"Glossário";"Glossário";"";"Português";"Três folhas (JCP-BIO-10-1 a JCP-BIO-10-3) constituindo uma espécie de glossário, com cabeçalhos como “corpo humano”, “árvores e plantas vulgares”. Possivelmente para apoio à tradução.";"Espólio Documental";"Documento Biográfico";"";"";"";"";"";"";"JCP-BIO-11";"";"JCP-BIO-10";"Informação protegida";"Razoável";"Colecção particular";"";"";"Atribuída em função de JCP-BIO-11";"";"";"c. 1912";"";"";"";"2022-05-02";"Simão Palmeirim e Ana Rita Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-215___DEP-AN_262.jpg";"";"Negreiros, José de Almada";"Ginastas";"Ginastas";"";"";"Pintura de um par de ginastas com bola. ";"Arte";"Desenho / Pintura";"";"Grafite e guache sobre cartão. ";"53,7 x 35,5 cm";"";"";"";"";"";"ANSA-A-215";"Informação protegida";"Bom";"Colecção particular";"";"";"";"";"";"Sem data ";"";"";"";"2020-02-10";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-216___DEP-AN_271.jpg";"";"Negreiros, José de Almada";"Ginastas ";"Ginastas ";"";"";"Desenho de um par de ginastas: a figura feminina segura uma bola. Assinado e datado c.i.d.";"Arte";"Desenho";"";"Tinta verde sobre papel";"53,9 x 41,5 cm";"";"";"";"";"";"ANSA-A-216";"Informação protegida";"Bom. Apresenta vincos no papel.";"Colecção particular";"";"";"Datado.";"";"";"1952";"";"";"";"2020-02-10";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-194.jpg";"";"Negreiros, José de Almada";"Ginasta";"Ginasta";"";"";"Estudo de uma figura em posição de equilíbrio com uma bola.No verso: esboço muito sumido de um busto feminino e autenticação por Sarah Affonso.";"Arte";"Desenho";"";"Lápis sobre papel.";"36,8 x 26,7 cm";"";"";"";"";"";"ANSA-A-194";"Informação protegida";"Razoável. Manchas de humidade. Papel amarelecido. ";"Colecção particular";"";"";"";"";"";"Sem data";"";"";"";"2020-02-10";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-RI-050__I_.png";"/images/NAeSA/pdf/ANSA-RI-050.pdf";"Gilles";"George Brassens - um homem de 50 anos que é o grande ídolo da juventude europeia";"George Brassens - um homem de 50 anos que é o grande ídolo da juventude europeia";"";"Português";"Entrevista de Gilles ao músico George Brassens, em fonte e data desconhecida.";"Espólio Documental";"Recorte de Imprensa Entrevistas";"";"";"";"";"";"";"";"";"ANSA-RI-50";"Informação Protegida";"Bom";"Colecção Particular";"";"Sem data";"";"";"";"Desconhecida";"Inglaterra França Cardiff";"Música";"Brassens, Georges Blas, Ruy Béart, Guy Planche, Jeanne  Hugo, Vítor  Gilles Fallet, René  Chabrol, Claude";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-1575.JPG";"";"Almada Negreiros";"Geometria é anterior à Aritmética";"9.10 número d'oiro";"Faz parte de um conjunto de 47 folhas de características formais idênticas e conteúdos encadeados (ANSA-A-1569 a ANSA-A-1616), cuja primeira página parece ser uma capa com o título “9.10 número d’oiro”, das edições Nónio. As primeiras folhas são numeradas até ao número 17 no canto superior direito. Várias folhas têm também numeração romana.O conjunto inclui ainda duas folhas (encontradas entre a página 7 e 8) de formato diferente e com apontamentos vários.";"";"Página que aparenta ser início de capítulo.Embora não numerada, encontrava-se entre as páginas 6 e 8, faltando a nº 7 no conjunto.Título inscrito.";"Arte / Geometria";"";"";"Vários vários sobre papel quadriculado à mão.  ";"61 x 43 cm";"";"";"";"ANSA-A-1548 a ANSA-A-1568ANSA-A-1569 a ANSA-A-1616";"Os itens relacionados estavam materialmente juntos e têm as mesmas características formais.";"ANSA-A-1575";"Informação Protegida";"Bom";"Colecção Particular";"";"";"Provavelmente do final da década de 50 ou 60, considerando uma referência à capela do Fundador do Mosteiro da Batalha num dos desenhos do conjunto.Almada projecta o retábulo imaginado de quinze painéis para esse local, a partir de 1958.";"";"";"c. 1960";"";"";"Aristóteles";"2021-06-11";"Simão Palmeirim"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-300.jpg";"";"Negreiros, José de Almada";"General sentado";"General sentado";"";"";"Estudo de um militar gordo sentado numa cadeira. ";"Arte";"Desenho";"";"Lápis sobre papel.";"27,4 x 21,3 cm";"";"";"";"";"";"ANSA-A-300";"Informação protegida";"Razoável. Manchas de humidade e de tinta.";"Colecção particular";"";"";"";"";"";"Sem data ";"";"";"";"2020-03-02";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-4501.jpg";"";"Negreiros, José de Almada";"Gato ";"GatoCinco";"";"";"Desenho abstrato, com as formas de um gato e com o número ""5"". ";"Arte";"Desenho / Pintura";"";"Tinta da china preta e aguada sobre papel. ";"58,2 x 43,4 cm";"";"";"";"";"";"ANSA-A-450";"Informação Protegida";"Razoável. Muitos picos de humidade. ";"Colecção Particular";"";"";"";"";"";"Sem data ";"";"";"";"2021-02-11";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-A-292.jpg";"";"Negreiros, José de Almada";"Garrafa e copo";"Garrafa e copo";"";"";"Desenho de uma garrafa e de um copo sobre uma toalha ao xadrez. ";"Arte";"Desenho";"";"Grafite sobre papel.";"33,4 x 23,1 cm";"";"";"";"";"";"ANSA-A-292";"Informação protegida";"Bom. Algumas manchas de sujidade.";"Colecção particular";"";"";"";"";"";"Sem data ";"";"";"";"2020-03-02";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-RI-200.png";"/images/NAeSA/pdf/ANSA-RI-200.pdf";"Desconhecido";"Gare Marítima de Alcântara";"Gare Marítima de Alcântara";"";"Português";"Artigo, por autor desconhecido, sobre os painéis de Almada na Gare Marítima de Alcântara.";"Espólio Documental";"Recorte de Imprensa";"";"";"";"";"Recorte tirado de:  Diário Popular , 9 de Julho de 1945, p. 6.";"";"";"";"ANSA-RI-200";"Informação Protegida";"Mau. O recorte apresenta severas manchas de humidade bem como rasuras ao longo das margens direita e inferior.";"Colecção Particular";"";"1945";"";"";"";"1945 Jul 9";"Lisboa";"Gare Marítima   Alcântara";"Negreiros, José de Almada";"";"Diogo Fernandes"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-139-001.JPG";"";"Negreiros, José de Almada";"Galileu, Leonardo e Eu  ";"";"";"Português";"Excerto da peça de teatro: ""Galileu, Leonardo e Eu: Acto Único"". Versão diferente da publicada em Obras Completas: ""Teatro 3"", Lisboa, Editorial Estampa, 1971. ";"Literatura";"Teatro";"";"Cartão desdobrável liso, seis páginas manuscritas a esferográfica, título a tinta azul. ";"17,5 x 12,5 cm";"";"Negreiros, José de Almada, Obras Completas: ""Teatro 3"", Lisboa, Editorial Estampa, 1971. ";"";"";"";"ANSA-L-139";"Informação Protegida";"Bom";"Colecção Particular";"";"1965";"Atribuída de acordo data inscrita numa versão desta mesma peça. ";"";"";"1965";"";"";"Galilei, Galileu Da Vinci, Leonardo";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-L-141-001.JPG";"";"Negreiros, José de Almada";"Galileu, Leonardo e Eu  ";"";"";"Português";"Projecto de capa para peça de teatro: ""Galileu, Leonardo e Eu: Acto Único"".";"Literatura";"Plano ou projecto / Teatro";"";"Capa cartão desdobrável liso, com título a tinta azul e vermelha.";"17,5 x 12,5 cm";"";"Negreiros, José de Almada, Obras Completas: ""Teatro3"", Lisboa, Editorial Estampa, 1971. ";"";"ANSA-L-139";"";"ANSA-L-141";"Informação Protegida";"Razoável: manchas de cera na contracapa.";"Colecção Particular";"";"1965";"Atribuída de acordo data inscrita em versão desta peça. ";"";"";"1965";"";"";"";"";"Sílvia Laureano Costa"
"Almada Negreiros e Sarah Affonso";"/images/NAeSA/ANSA-IMP-22.jpg";"";"Negreiros, José Afonso de Almada /  França, José-Augusto / Affonso, Sarah";"Galeria de Março 9";"Galeria de Março 9 Exposição de Pintura de Sarah Affonso";"";"Português";"Catálogo de exposição de pintura de Sarah Affonso na Galeria de Março, em Lisboa, dirigida por José-Augusto França. Exemplares: ANSA-IMP-22  ANSA-IMP-22 A  ANSA-IMP-22 B  ANSA-IMP-22 C  ANSA-IMP-22 D. Contém um texto biográfico sobre Sarah Affonso; um texto de apresentação de José-Augusto França, a reprodução de um desenho de Sarah Affons";"Espólio Documental";"Pintura Impresso";"ANSA-IMP-22 A: assinatura de Sarah Affonso.  ANSA-IMP-22 C: correcção manuscrita no texto biográfico, 1917 corrigido para 1924. ";"Impresso.  Caderno agrafado de 8 páginas impressas a preto e vermelho. Um dos cinco exemplares (ANSA-IMP-22 A) tem a capa de cartolina rija e as dimensões levemente maiores.";"23 x 17 cm 25 x 17,5 cm (ANSA-IMP-22 A)";"";"";"";"";"";"ANSA-IMP-22";"Informação Protegida";"Bom ";"Colecção Particular";"";"1953";"Data da exposição: 10 a 23 de janeiro de 1953, inscrita no cólofon do catálogo. ";"Negreiros, José Afonso de Almada";"";"1953 Jan";"Lisboa";"Galeria de Março Exposição Catálogo";"Negreiros, José de Almada  Negreiros, José Afonso de Almada  Jacob, Max França, José-Augusto";"";"Sílvia Laureano Costa"
