Fundo,Imagem,PDF,Autor,Titulo,Titulos atríbuidos,Notas de edição,Idioma,Edição / Descrição geral,Categoria,Subcategoria,Legendas,Descrição Material,Dimensões,Itens relacionados,Cota,Data,Locais,Palavras chave,Identificador
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-228__I_.jpg,/images/NAeSA/pdf/ANSA-RI-228.pdf,"L. A. Oliveira, Mário de","Bom dia, Almada , Poesia Portuguesa e Brasileira de Ontem e de Hoje , Breve Antologia, não-cronológica dos séculos XIX e XX , 6 , Almada Negreiros , 1893-1970","Bom dia, Almada / Poesia Portuguesa e Brasileira de Ontem e de Hoje / Breve Antologia, não-cronológica dos séculos XIX e XX / 6 / Almada Negreiros / 1893-1970",,Português,"Dois artigos dedicados à vida e obra de Almada Negreiros, após a sua morte. 'Bom dia, Almada', por Mário de Oliveira e 'Poesia Portuguesa e Brasileira de Ontem e de Hoje / Breve Antologia, não-cronológica dos séculos XIX e XX / 6 / Almada Negreiros / 1893",Espólio Documental,Recorte de Imprensa,,,,,ANSA-RI-228,1970 Jun 25,Amarante São Tomé,Artigo biográfico Fundação Calouste Gulbenkian,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/640
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-118.png,/images/NAeSA/pdf/ANSA-RI-118.pdf,"Barros, João de",Bom Senso,Bom Senso,,Português,"Artigo de João de Barros sobre a revista Sudoeste e o seu director, José de Almada Negreiros.",Espólio Documental,Recorte de Imprensa,,,,,ANSA-RI-118,1935 Out 22,,Sudoeste,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/215
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-047__I_.png,/images/NAeSA/pdf/ANSA-RI-047.pdf,"Guterres, João",Breve síntese da moderna poesia portuguesa,Breve síntese da moderna poesia portuguesa,,Português,Artigo de João Guterres sobre as diversas correntes literárias portuguesas do século XX.,Espólio Documental,Recorte de Imprensa,,,,,ANSA-RI-47,1958 Dez 1,,Saudosismo Orpheu Literatura Surrealismo,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/50
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1223.jpg,,"Negreiros, José de Almada",Brevemente: Edições Nónio,,,Português,"Estudo para o texto que é editado no Diário de Notícias, em 1960.As edições Nónio são uma chancela criada por Almada, para as suas próprias publicações, de autor. Não chega a ser formalizada enquanto editora, mas é assinalada em muitos esboços e estudos.",Arte / Geometria,Painéis de S. Vicente,,Esferográfica preta sobre papel,27 x 21 cm,ANSA-A-1143 e ANSA-A-114,ANSA-A-1223,sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3347
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-082.png,/images/NAeSA/pdf/ANSA-RI-082.pdf,"Negreiros, José de Almada",Bristol Club,Bristol Cub,,Português,"Anúncio publicitário ao Bristol Club, da autoria de José de Almada Negreiros.",Espólio Documental,Recorte de Imprensa Ilustração,"Inscrito na margem inferior do recorte, lápis, a data e fonte: '5-Março-27 Diário de Lisboa'.",,,,ANSA-RI-82,1927 Mar 5,,Desenho publicitário,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/153
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-17631.JPG,,"Negreiros, José de Almada",Burgos,Burgos,,Português,"Desenho de vista urbana: Calle de Sta Gadea, Burgos. Assinado e datado: António-Lino 1950Dedicatória, no canto inferior direito: “Para Sarah Affonso, para Almada Negreiros, aos seus filhos, com muita amizade, as suas melhores saudações de Natal do amigo António-Lino”.   ",Arte,Desenho,,"Caneta de tinta preta sobre papel colado em passepartout castanho, com inscrição a caneta de tinta.",22 x 26 cm,,ANSA-A-1763,1950,Burgos,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4941
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-193.jpg,,"Negreiros, José de Almada",Busto,Busto,,,Estudo de busto. ,Arte,Desenho,,Lápis sobre papel.,"31,6 x 24 cm",,ANSA-A-193,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2769
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-259.jpg,,"Negreiros, José de Almada",Busto,Busto,,,Desenho de um busto.,Arte,Desenho,,Tinta da china sobre papel.,"29,1 x 22,5 cm",,ANSA-A-259,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2852
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-401_-_DEP-AN_311.jpg,,"Negreiros, José de Almada",Busto de figura negra,Busto de figura negra,,,Pintura de um busto de uma figura negra. ,Arte,Desenho / Pintura,,Tinta da china preta e aguada sobre papel.,"35,7 x 24 cm",,ANSA-A-401,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3507
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/IMG_101.jpg,,"Negreiros, José de Almada",Busto de mulher,Busto de mulher,,,Desenho a grafite sobre papel colado em cartão. Assinado C.I.E.,Arte,Desenho,,Grafite sobre papel colado em cartão.,"32,6 cm x 26,4 cm",,DEP-AN101,Sem data,,Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1497
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/IMG_070.jpg,,"Negreiros, José de Almada",Busto de Varina,Busto de Varina,,,Estudo para os frescos da Gare Marítima de Alcântara.,Arte,Desenho,,Grafite sobre papel.,"34,8 cm x 23 cm",,DEP-AN70,1943,Lisboa,Gare Marítima   Alcântara  Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1464
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/IMG_078.jpg,,"Negreiros, José de Almada",Busto feminino,Busto feminino,,,Desenho a grafite e lápis de cor sobre papel. Assinado e datado C.I.D,Arte,Desenho,,Grafite e lápis de cor sobre papel.,"49,9 cm x 70 cm",,DEP-AN78,1936,,Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1472
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/IMG_095.jpg,,"Negreiros, José de Almada",Busto Feminino,Busto Feminino,,,Desenho a grafite sobre papel.,Arte,Desenho,,Grafite sobre papel.,"29,9 cm x 21,6 cm",,DEP-AN95,Sem data,,Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1489
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-171_-_DEP-AN_310.jpg,,"Negreiros, José de Almada",Busto feminino,Busto feminino,,,"Desenho de busto feminino, assinado no canto inferior direito.",Arte,Desenho,,Grafite sobre papel.,"33,9 x 22,3 cm",,ANSA-A-171,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2209
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-140.jpg,,"Negreiros, José de Almada",Busto feminino,Busto feminino,,,Desenho de busto feminino.,Arte,Desenho,,Tinta da china sobre cartolina.,"27,5 x 24,9 cm",,ANSA-A-140,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2727
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-261.jpg,,"Negreiros, José de Almada",Busto feminino,Busto feminino,,,Desenho de um busto feminino.,Arte,Desenho,,Tinta da china sobre cartão.,"32,6 x 25 cm",,ANSA-A-261,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2854
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-446___DEP-AN_296.jpg,,"Negreiros, José de Almada",Busto feminino,Busto feminino,,,Pintura do busto de uma mulher com blusa e lenço na cabeça. Autenticado no verso por Sarah Affonso. ,Arte,Pintura,,Guache de cores várias e lápis sobre papel.,"64,7 x 50 cm",,ANSA-A-446,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3611
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-192.jpg,,"Negreiros, José de Almada",Busto masculino,Busto masculino,,,Desenho de um busto masculino. Assinado e datado.,Arte,Desenho,,Grafite sobre papel.,"33,9 x 22,6 cm",,ANSA-A-192,1933,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2754
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-276.jpg,,"Negreiros, José de Almada",Busto masculino,Busto masculino,,,Desenho de um busto masculino.,Arte,Desenho,,Caneta de tinta verde sobre papel.,"27,4 x 21,3 cm",,ANSA-A-276,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2869
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-281.jpg,,"Negreiros, José de Almada",Busto masculino,Busto masculino,,,Estudo de um busto masculino.,Arte,Desenho,,Esferográfica cor-de-rosa sobre papel.,"25,2 x 20,8 cm",,ANSA-A-281,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2874
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-457.jpg,,"Negreiros, José de Almada",Busto masculino,Busto masculinoArlequim,,,Desenho de um busto masculino com um chapéu de Arlequim.,Arte,Desenho,,Grafite sobre papel azul colado sobre cartolina. ,27 x 21 cm,,ANSA-A-457,Sem data ,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3639
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/IMG_125.jpg,,"Negreiros, José de Almada","Cabeça   de Varina – Estudo para os frescos da Gare Marítima da Rocha de Conde de Óbidos , n.d; n.a","Cabeça   de Varina – Estudo para os frescos da Gare Marítima da Rocha de Conde de Óbidos , n.d; n.a",,,Desenho a lápis de cera.,Arte,Desenho,,Desenho a lápis de cera sobre cartão.,50 cm x 50 cm,,DEP-AN125,1946,,Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3772
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/MB_AN_47.jpg,,"Negreiros, José de Almada",Cabeça de mulher com manto,Cabeça de mulher com manto,,,Pintura da autoria de José de Almada Negreiros.,Arte,Pintura,,Pintura a óleo sobre tela.,55 cm x 38 cm x 1 cm sem moldura ,,MB_AN_47,sem data,,Pintura Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1326
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-8-019.jpg,,"Negreiros, José de Almada",Caderno,"Inicial ; 'Uma raça de aves' ; 'Prefácio' ; 'Há três' ; Lírica Última ; 'Naquele tempo' ; 'Eram sete e meia' ; 'Tu, Amigo, vem' ; 'Se chove'",,,"Caderno de capa preta in-octavo com cortes a vermelho, com a maioria das páginas, quadriculadas, em branco.",Literatura Espólio Documental,Fragmentos Poesia,,In-octavo,,,ANSA-C-8-1 a ANSA-C-8-19,Finais de anos 40,,Apontamento Caderno,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/746
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-L-154-003.JPG,,"Negreiros, José de Almada",Caderno ,Caderno,,Português / Francês,"Caderno que contém: fragmento da peça ""23, 2.º andar""""; desenhos geométricos vários, incluindo o da ""Figura superflua ex errore""; fragmento em francês ""L'units est le point non spatial"" e vários esboços de desenhos. ",Arte / Literatura / Geometria,Desenho / Ficção / Fragmentos / Número / Painéis de S. Vicente / Plano ou projecto / Teatro,,"Caderno capas pretas, quadriculado, esboços de desenho nas duas guardas, trinta e uma páginas manuscritas a esferográfica azul, verde, rosa e lápis. ","18 x 13,5 cm",,ANSA-L-154-1 a ANSA-L-154-28,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/934
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-L-142-002.JPG,,"Negreiros, José de Almada",Caderno com desenhos e vários manuscritos ,Caderno com desenhos e vários manuscritos ,,Português,"Caderno com desenhos e diversos manuscritos, nomeadamente: uma página com os títulos ""Falta um Continente"" e ""Galileu, Leonardo e eu""; três esboços de uma carta a Pedro Batalha Reis; o rascunho do texto sobre a reposição dos painéis de D. João I na Batalha; um fragmento do texto ""Hoje o maior problema do mundo""; uma folha solta com ""Ex-líbris: reaver a inocência""; ""Constantemente acontece indignar-nos""; texto completo com emendas e acrescentos de ""Galileu, Leonardo e eu""; esboços para cenário e figurinos da peça ""Auto da Alma""; o texto: ""O que significa isto?""; fragmento do texto para ""Orpheu 1965"": ""3 vocábulos pejorativos"" e um fragmento sobre a encenação do ""Auto da Alma"". ",Arte / Literatura,Cenários e Figurinos / Correspondência / Depoimento / Ensaio / Ficção / Fragmentos / Teatro,,"Caderno de argolas, folhas quadriculadas, quarenta e uma páginas manuscritas a esferográfica preta, azul, verde, vermelha e lápis. Uma folha solta lisa (16,5 x 12,5 cm). ",22 x 16 cm,,ANSA-L-142-1 a ANSA-L-142-41,1965,Lisboa,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/924
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1752.JPG,,"Negreiros, José de Almada",Caderno com esboços,Caderno com esboços,,,"Caderno com múltiplos esboços (13 páginas): anjo, figura feminina, acrobata, cavalo, lobo.  ",Arte,Desenho,,Treze páginas. Grafite sobre papel. Capa de cartão.,"37 x 26,5 cm",,ANSA-A-1752,Sem data,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/4707
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-3081.JPG,,"Negreiros, José de Almada",Caderno com estudos preparatórios para o painel Começar,Caderno com estudos preparatórios para o painel Começar,,Português / Francês,"Na primeira página Almada lista em 12 pontos muitos dos referentes do painel Começar, desde “1 Figura Superflua Exerrore” de Leonardo da Vinci, a “12 rectangulos 7.9 = 2(5.13) 5.7 e φ”Caderno maioritariamente dedicado a traçados geométricos da divisão da circunferência em partes iguais e traçados que parecem ser estudos para o painel Começar. Inclui o símbolo usado no painel Começar para analogia. Inclui também uma estrela pentagonal com as inscrições semelhantes às da reitoria da Cidade Universitária de Lisboa, sob o título “Mitologia”. Inclui ainda uma referência a “Sinal (geométrico) do Afeganistão num pedaço de cerâmica”. Inclui um arranjo gráfico para capa sob o título Acousmata / nombres premiers.",Geometria,,,Caderno em bloco de folhas lisas inscritas a materiais riscadores vários.,15 x 10 cm,,ANSA-C-308,c. 1961,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5447
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-310.JPG,,"Negreiros, José de Almada",Caderno com estudos preparatórios para o painel Começar,Caderno com estudos preparatórios para o painel Começar,,Português,"Caderno com 22 páginas inscritas com desenhos geométricos de progressiva complexidade, que parecem corresponder aos traçados usados no painel Começar.",Geometria,,,"Caderno quadriculado inscrito a esferográfica verde. Contém 3 folhas soltas, que eram do mesmo caderno, com inscrições.",21 x 15 cm,,ANSA-C-310,c. 1968,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5449
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-L-149-002.JPG,,"Negreiros, José de Almada",Caderno com manuscritos,Caderno com manuscritos,,Português,"Manuscrito de ""Aqui Cáucaso"" com versões diferentes da peça publicada.Fragmento do texto ""Isto é, já estavam as artes quando"".",Literatura,Fragmentos / Teatro,,"Caderno de argolas, folhas lisas, cinquenta e duas páginas manuscritas a esferográfica vermelha, rosa e lápis. Contém três folhas soltas. ",22 x 16 cm,ANSA-L-143ANSA-L-144ANSA-L-145ANSA-L-150,ANSA-L-149-1 a ANSA-L-149-32,1963,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/937
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/thumbANSA-C-133.jpg,,"Negreiros, José de Almada",Caderno de projecto para pintura de 1957.,Caderno de projecto para pintura de 1957.,,Português,"Caderno coerente, não numerado mas que parece completo, dedicado a uma quinta obra de 1957, levada a cabo, com características semelhantes às do CAM, a que Almada por vezes se refere como ‘Pintar o sete’, embora neste caderno a apelide também de ""relação 9/10"" (o mesmo título da obra CAM-FCG Inv. 83P62)",,Plano ou projecto Pintura Linguagem do quadrado Desenho,,"Quatro folhas brancas de 25 x 34 cm, dobradas ao meio, uma de 25 x 17 cm; algumas com desenhos colados às mesmas e duas folhas pautadas inseridas no conjunto coerentemente. Inscrito a esferográfica vermelha e preta, caneta de tinta preta, tinta da china, ",22 x 17 cm,ANSA-A-121,ANSA-C-133,c. 1957,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2195
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-527.jpg,,"Affonso, Sarah",Camponesa a amamentar,Camponesa a amamentar,,,"Estudo de desenho de uma camponesa sentada debaixo de uma árvore a amamentar o seu filho, com uma junta de bois ao seu lado. Trata-se de um estudo para a pintura a óleo similar.  No verso: outro estudo do mesmo desenho.",Arte,Desenho,,Grafite sobre papel.,32 x 35 cm,,ANSA-A-527,1933,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2973
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-502.jpg,,"Affonso, Sarah",Camponesas no Minho,Camponesas no Minho,,,"Duas camponesas: uma sentada num cavalo, com um bebé no regaço; a outra a puxar o segundo cavalo. Desenho com uma paisagem atribuída à região portuguesa do Minho, por causa da legenda inscrita. Datado e assinado. ",Arte,Desenho,"""Castro Laboreiro / Minho  / Sarah Affonso / 1935""",Tinta da china sobre papel.,"21,3 x 27,4 cm",ANSA-A-501 e ANSA-A-503,ANSA-A-502,1935,Castro Laboreiro; Minho,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2927
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-IMP-59.jpeg,,Desconhecido,Cancioneiro I Salão dos Independentes,Cancioneiro I Salão dos Independentes,,Português," Cancioneiro publicado em ocasião do I Salão dos Independentes, que ocorreu em 1930 na Sociedade Nacional das Belas Artes. O Cancioneiro é dedicado à memória dos precursores Cesário Verde, Camillo Pessanha, Angêlo de Lima e Mario de Sá Carneiro, e contém poemas de vários autores, entre os quais Almada Negreiros com o poema ""Rondel do Alemtejo"".",Espólio Documental,Impresso,,Caderno com 28 páginas encadernado com fio e impresso a preto. Capa a cores.,"32,5 x 25 cm",ANSA-IMP-26,ANSA-IMP-59,1930,Lisboa,Sociedade Nacional de Belas-Artes (SNBA) Poesia Exposição Catálogo Arte,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1920
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-RI-135.png,/images/NAeSA/pdf/ANSA-RI-135.pdf,"Negreiros, José de Almada",Capa para a revista  Presença,Capa para a revista  Presença,,,"Desenho de José de Almada Negreiros para a capa da revista Presença.  Recorte da revista N.º 5, 4 de Junho de 1927, p.1.",Espólio Documental,Recorte de Imprensa Desenho,,,,,ANSA-RI-135,1927 Jun 4,,Ilustração,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/264
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-3381.jpg,,"Negreiros, José de Almada",Caravelas dos Descobrimentos Portugueses,Caravelas dos Descobrimentos Portugueses,,,"Desenho de três Caravelas dos Descobrimentos Portugueses e de uma figura de Anjo a sobrevoá-las. Trata-se, provavelmente, de um estudo para os vitrais destinados ao Pavilhão da Colonização da Exposição do Mundo Português, em Lisboa.Autenticado no verso por Sarah Affonso. ",Arte,Desenho / Pintura,,Lápis e aguarela sobre papel.,"69 x 34,5 cm",,ANSA-A-338,1940,Lisboa,Mundo Português ,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/3048
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-518.jpeg,,"Affonso, Sarah",Cardos em flor e espigas,Cardos em flor e espigas,,,Desenho de cardos em flor e de espigas. Datado e assinado (c.i.e.). ,Arte,Desenho,,Grafite sobre papel.,"50,9 x 50,9 cm ",,ANSA-A-518,1975,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2964
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-A-1773__Large.jpeg,,"Viana, António Couto",Caricatura de Almada Negreiros ,Caricatura de Almada Negreiros ,,,"Caricatura de Almada Negreiros. Assinado e datado: ""Couto Viana 46"". Em 1974, Couto Viana publica “O Almada que eu conheci” e, em Dezembro de 1976, um cartaz litográfico com ilustração de Almada Negreiros (Mocidade Portuguesa) e um poema de António Manuel Couto Viana.",Arte,Desenho / Caricatura,,Grafite e caneta de tinta preta sobre papel.,32 x 22 cm,,ANSA-A-1773,1946,,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5100
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-COR-462-001.jpg,,"Negreiros, José de Almada",Carta a José Afonso de Almada Negreiros de José de Almada Negreiros,Carta a José Afonso de Almada Negreiros de José de Almada Negreiros,,Português,Dá notícias da família e das obras na Quinta da Lameirinha; faz recomendações acerca da viagem do filho.,Espólio Documental,Correspondência,,"Folha dupla de papel de carta, pautada, manuscrita no recto e verso a tinta preta; envelope azul de avião, dirigido à Legação Portuguesa em Estocolmo.",,,ANSA-COR-462,1958 Out 13,Lisboa,Família Lembranças,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/982
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-L-83-001.png,,"Negreiros, José de Almada",Carta Aberta,Carta Aberta,,Português,"Dactiloscrito da carta aberta que José de Almada Negreiros enviou à redacção do Diário de Lisboa, em que o artista explica a sua atitude no comício do Chiado Terrasse e se refere ao incidente com Leal da Câmara.",Literatura,Artigos,,"Dactiloscrito de quatro páginas lisas numeradas a tinta verde, com correcções a tinta azul.",,,ANSA-L-83,21-Dec-21,Lisboa,Polémica 'Os Novos e os Velhos',https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/1029
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-188-1.jpg,,"Negreiros, José de Almada",carta aberta ilustrada pela sala IIdo Museu Nacional de Arte Antiga,,Notas: páginas numeradas no canto superior esquerdo.,Português,"Texto sobre o retábulo imaginado para o Mosteiro da Batalha, em particular, dedicado às representações de D. João I e D. Filipa de Lencastre.“Carta aberta” serve de título para vários textos semelhantes, mas não chega a haver publicação com este título.Este texto em particular toma uma direcção diferente da maioria dos textos com este título: é bastante centrado na “ fragilidade de crítica”, na relação entre crítica e estado, e na imprensa. Refere que a “sempre indesejada “censura prévia” está precedida na maioria dos casos da crítica liberal, por pareceres e afirmações que são textualmente abusos de imprensa.”",Geometria,,,Esferográfica azul sobre papel liso (16 folhas),27 x 21 cm,,ANSA-C-188,c.1962,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5420
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-187-002.jpg,,"Negreiros, José de Almada",carta aberta ilustrada pela sala IIno Museu Nacional de Arte Antiga,,Assinado “almada”.,Português,"Esboço de texto sobre o retábulo imaginado para o Mosteiro da Batalha, em particular, dedicado às representações de D. João I e D. Filipa de Lencastre.“Carta aberta” serve de título para vários textos semelhantes, mas não chega a haver publicação com este título.",Geometria,,,Três folhas quadriculadas inscritas (só frente) a materiais riscadores vários.,"21 x 14,5 cm",,ANSA-C-187,c.1962,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5419
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-057.jpg,,"Negreiros, José de Almada",Carta aberta ilustrada pela sala II,Carta aberta ilustrada pela sala II,,Português,Caderno com texto e ilustrações sobre a importância da obra Eccce Homo para o políptico de S. Vicente.,Arte Literatura Geometria,Desenho Painéis de S. Vicente Plano ou projecto,,"Fólio de oito folhas (16,5 x 100 cm aberto). Desenhos e texto a caneta preta sobre papel branco.","16,5 x 12,5 cm",,ANSA-C-57,sem data,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2109
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-172.JPG,,"Negreiros, José de Almada",carta aberta ilustrada pela sala II,, Assinado “almada”,Português,"Caderno dedicado ao estudos dos painéis de São Vicente:ao texto “carta aberta ilustrada” (ver ANSA-C-217)“rezênha do historial das dimensões de cada um dos quinze paineis da mesma obra”“módulo: compleixão painel-moldura “Ecce Homo” (tábua sem moldura)”Estudos geométricos semelhantes a ANSA-A-1234“cinegeometria” da obra Ecce HomoInclui também texto dedicado ao conceito de “cinegeometria” Inclui ainda 3 folhas hors-texte, quadriculadas, de dimensões variáveis, inscritas com tópicos semelhantes. ",Geometria,,,Caderno de argolas com folhas quadriculadas inscritas a materiais riscadores vários (inclui 3 folhas separadas das argolas),"22 x 16,5 cm",ANSA-C-217ANSA-C-171,ANSA-C-172,1961,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/5404
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-189-1.jpg,,Almada Negreiros,Carta Aberta Ilustrada pela sala II do Museu Nacional de Arte Antiga,,AssinadoEdições Nónio,Português,"Rascunho para a carta aberta ilustrada sobre os painéis de S. Vicente, que Almada não chega a publicar. Desenhos que ilustram a cronologia da sua investigação sobre os painéis",Arte / Geometria,,,"Folha quadriculada de 17x44,5cm dobrada em quatro partes.Texto e imagem a lápis e esferográfica azul.","17 x 12,5 cm (dobrada)",,ANSA-C-189,c. 1961,MNAA,Carta Aberta Ilustrada; Painéis de S. Vincente,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2384
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-190.jpg,,Almada Negreiros,Carta Aberta Ilustrada pela sala II do Museu Nacional de Arte Antiga,,Edições Nónio,Português,"Rascunho para a carta aberta ilustrada sobre os painéis de S. Vicente, que Almada não chega a publicar.",Arte / Geometria,,,"Folha quadriculada de 17x44,5cm dobrada em quatro partes.Texto a esferográfica azul.","33 x 44,5 cm (aberta)",,ANSA-C-190,c. 1961,"MNAA, Batalha",,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2385
Almada Negreiros e Sarah Affonso,https://modernismo.pt//images/NAeSA/ANSA-C-191.jpg,,Almada Negreiros,Carta Aberta Ilustrada pela sala II do Museu Nacional de Arte Antiga,,Assinada,Português,"Rascunho para a carta aberta ilustrada sobre os painéis de S. Vicente, que Almada não chega a publicar. Desenhos que ilustram a sala II do MNAA",Arte / Geometria,,,"Folha quadriculada de 17x44,5cm dobrada em 8 partes.Texto e imagem a lápis e esferográfica azul e preta.","66 x 44,5 cm (dobrada em dois)",,ANSA-C-191,1961,Batalha,,https://modernismo.pt/index.php/arquivo-almada-negreiros/details/33/2386
